状态,终端MAC地址,终端IP地址,关联SSID,关联频段,关联信道,关联微AP名称,关联AP名称,AC名称,位置,AC的IP地址,关联AP的IP地址,账号,终端在线时长(s)
离线,A2-7A-E8-28-14-1B,10.208.248.237,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,92-31-95-0A-48-EC,,NCUWLAN-TEST,5G,,,东湖南-图书馆-201-C1,NCDX-AC-H3C,无线/东湖南/图书馆,10.1.0.16,210.35.148.104,,0
离线,F2-A8-7C-A0-7E-AC,,NCUWLAN,5G,,,青山湖北-生物楼-5f-06,NCDX-AC-H3C,无线/青山湖北/生物楼,10.1.0.16,10.76.95.142,,0
离线,22-92-A0-CA-D9-D8,,NCUWLAN,5G,,,前湖北-图书馆A0501-C1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.193,"653846128430470869,1,1751180192",0
离线,96-32-55-2D-8D-54,10.208.65.230,NCUWLAN,2.4G,6,,东湖南-基础教学楼-1003,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.24,,0
离线,CE-A9-92-29-2B-5A,,,2.4G,,,前湖北-天健园,ncu-wlan-master,无线/前湖北/天健院,10.1.0.13,10.191.0.128,"502041999602553093,1,1754118533",0
离线,D2-FC-9C-EB-06-DA,,,2.4G,,,东湖南-基础教学楼-5f-503,ncu-wlan-master,无线/东湖南/基础教学楼,10.1.0.13,10.81.0.2,"492859654380755994,1,1748850049",0
离线,52-B2-5A-B4-93-10,10.210.175.255,NCUWLAN,2.4G,1,,blg-3f-3,ncu-wlan-master,,10.1.0.13,10.76.161.177,,0
离线,92-27-47-83-36-D2,10.210.211.142,NCUWLAN,2.4G,1,,青山湖北-一食堂-st01,RUIJIE-AC,,10.1.0.15,10.76.1.201,,0
离线,32-A1-C8-D6-58-8E,,NCUWLAN,2.4G,,,前湖南-第一教学大楼-4FBMLL-1,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.147,,0
离线,26-0B-EB-D1-58-D7,,NCUWLAN-TEST,5G,,,前湖南-第一教学大楼-408-G2,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.11,"682093486092212994,1,1745213375",0
离线,52-AD-3E-48-0A-0E,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,F2-2A-70-1C-06-D9,,NCUWLAN,5G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,62-F8-02-4E-5A-A1,,NCUWLAN,5G,,,青山湖北-生物楼-4f-07,NCDX-AC-H3C,无线/青山湖北/生物楼,10.1.0.16,10.76.30.112,,0
离线,2C-7B-A0-7A-E9-6E,10.202.85.248,NCUWLAN,5G,,,前湖北-机电楼-D405-1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.129.21,"328139184146805230,1,1757952686",0
离线,4A-10-CC-66-96-49,10.208.40.189,NCUWLAN,5G,149,,东湖南-继教楼-203-C1,NCDX-AC-H3C,无线/东湖南/继续教育学院,10.1.0.16,210.35.149.248,"240331479367133930,1,1743923319",0
离线,D2-DE-19-28-06-20,,NCUWLAN-TEST,2.4G,,,东湖南-图书馆-201-C1,NCDX-AC-H3C,无线/东湖南/图书馆,10.1.0.16,210.35.148.104,,0
离线,C2-9A-D1-15-78-3F,,NCU-2.4G,2.4G,,,前湖北-理科楼-2f-a-01,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.44.37,,0
离线,42-C8-7B-73-AA-FB,10.208.156.207,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,32-E2-DD-13-AF-5F,,,2.4G,,,前湖北-建工楼-1f-a111,ncu-wlan-master,无线/前湖北/建工楼,10.1.0.13,10.54.237.96,,0
离线,32-6A-A6-B6-99-48,,NCUWLAN,2.4G,,,前湖北-bwx-2f-01,NCDX-AC-H3C,,10.1.0.16,10.75.128.25,,0
离线,A2-2B-48-83-03-04,,,2.4G,,,青山湖南-网络中心-5f-03-f,ncu-wlan-master,无线/东湖南/网络中心,10.1.0.13,10.78.128.4,,0
离线,22-06-9C-1F-FF-B7,10.202.136.226,NCUWLAN-test,5G,,,前湖北-机电楼-E620A-8口光,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.129.191,,0
离线,32-D7-AA-BD-9D-D0,10.202.43.136,NCUWLAN,5G,157,,前湖北-研究生楼-2F-218,RUIJIE-AC,无线/前湖北/研究生楼,10.1.0.15,10.183.5.55,,0
离线,32-8A-F9-3E-D7-12,10.208.185.57,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,72-CC-19-98-83-1B,,NCUWLAN,2.4G,,,东湖南-基础教学楼-4f-10,NCDX-AC-H3C,无线/东湖南/基础教学楼,10.1.0.16,10.81.0.145,,0
离线,DC-09-4C-1B-56-FF,,NCUWLAN,2.4G,,,东湖南-基础教学楼-1f-02,NCDX-AC-H3C,无线/东湖南/基础教学楼,10.1.0.16,10.81.0.131,"988950770959405229,1,1737043463",0
离线,A2-29-85-4C-BB-17,,NCUWLAN-TEST,5G,,,青山湖北-软件楼-308-G1,NCDX-AC-H3C,无线/青山湖北/软件楼,10.1.0.16,10.160.8.39,"982364201340142601,1,1746528415",0
离线,86-BA-BA-10-54-9C,,NCUWLAN,5G,,,前湖北-图书馆-A1901-C1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.205,,0
