状态,终端MAC地址,终端IP地址,关联SSID,关联频段,关联信道,关联微AP名称,关联AP名称,AC名称,位置,AC的IP地址,关联AP的IP地址,账号,终端在线时长(s)
离线,92-8B-29-54-F9-22,,NCU-2.4G,2.4G,,,前湖北-文法楼-2f-b-08,NCDX-AC-H3C,无线/前湖北/文法楼,10.1.0.16,10.63.0.99,,0
离线,B2-D5-6C-26-30-BF,,NCUWLAN,5G,,,青山湖北-附属中学-高中4F420,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.36,,0
离线,76-53-F7-E1-AD-05,,NCUWLAN,2.4G,,,前湖北-慧源楼-225A-G4,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.161,,0
离线,F8-E4-E3-91-D4-D5,10.202.191.43,NCUWLAN,5G,52,,前湖北-智华科技楼-ap720-l-B-N-6F-4,RUIJIE-AC,无线/前湖北/智华科技楼,10.1.0.15,10.80.0.98,,0
离线,62-47-47-4D-DD-27,10.202.21.26,NCUWLAN,5G,149,QHXQ-LKL-SYS-map752-1f-03,QHXQ-LKL-SYS-AM5528-01,RUIJIE-AC,,10.1.0.15,10.54.149.35,,0
离线,78-46-5C-39-06-77,,NCUWLAN,5G,,,前湖北-慧源楼-3FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.153,"426832848060099476,2,1758077867",0
离线,82-03-48-01-54-A6,10.202.179.142,NCUWLAN-test,2.4G,,,前湖北-环材楼-C630B-8口光,NCU_HW_AC1,无线/前湖北/环材楼,10.1.0.18,10.151.128.93,,0
离线,A2-AF-02-A4-47-9D,,,,,,,NCDX-AC-H3C,,10.1.0.16,,,0
离线,E2-7F-CF-DA-F6-DC,,,2.4G,,,前湖北-艺术楼-B322,ncu-wlan-master,无线/前湖北/艺术楼,10.1.0.13,10.63.0.23,,0
离线,8E-BB-9E-65-12-16,,NCUWLAN,5G,,,前湖北-慧源楼-123-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.32,,0
离线,C2-B5-32-79-89-20,10.202.188.204,NCUWLAN,2.4G,6,,前湖北-昌海楼-b-2f-02,NCDX-AC-H3C,无线/前湖北/昌海楼,10.1.0.16,10.66.0.20,"QH711,1,1752369959",0
离线,B2-AE-A6-9B-C2-78,,NCUWLAN,2.4G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,B6-4D-9B-4F-75-92,10.202.127.3,NCUWLAN,5G,44,,前湖北-文法楼-3F-A315,RUIJIE-AC,无线/前湖北/文法楼,10.1.0.15,10.63.0.142,,0
离线,80-45-DD-87-83-81,10.210.3.108,NCUWLAN,5G,1,,青山湖北-生物质转化中心-2f-04,NCDX-AC-H3C,无线/青山湖北/生物质转化中心,10.1.0.16,10.76.5.223,,0
离线,36-8B-6D-68-43-BF,,,2.4G,,,前湖南-教学楼1-302,ncu-wlan-master,无线/前湖南/第一教学大楼,10.1.0.13,10.70.0.38,,0
离线,62-A2-7B-5F-F7-3A,,NCUWLAN,5G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
在线,DC-71-96-C4-98-43,10.202.66.117,NCUWLAN,5G,157,,前湖北-智华科技楼-AM5528-B-B-2F-01,RUIJIE-AC,无线/前湖北/智华科技楼,10.1.0.15,10.80.0.210,"613015379714101848,1,1758076666",2218
离线,12-35-1E-19-E9-72,,NCUWLAN,5G,,,前湖北-图书馆-A0903-C1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.187,"309494063427631335,1,1758029969",0
离线,92-60-A1-03-80-6F,10.208.2.118,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,AA-09-3D-A4-34-F3,10.208.200.5,NCUWLAN,5G,52,,东湖南-基础教学楼-3001,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.57,,0
离线,82-6B-CE-80-61-C5,10.202.172.26,NCUWLAN,5G,153,,28d0.f59a.ecff,RUIJIE-AC,,10.1.0.15,10.161.64.32,,0
离线,A2-9A-EB-87-D7-6D,10.208.222.37,NCUWLAN,2.4G,11,,东湖南-基础楼-4F-01,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.35,,0
离线,72-1F-7C-DF-CF-09,10.248.50.76,NCUWLAN,2.4G,,,前湖南-医创中心-2F-249-1,NCU_HW_AC1,无线/前湖南/医创中心,10.1.0.18,10.157.0.113,,0
离线,CA-59-64-55-28-94,,NCU-2.4G,5G,,,东湖南-基础教学楼-4F-4001,ncu-wlan-master,无线/东湖南/基础教学楼,10.1.0.13,10.63.0.70,,0
离线,9E-97-23-6D-0B-BE,,NCUWLAN,5G,,,前湖北-慧源楼-514-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.27,"398124500188279339,1,1757751557",0
离线,4E-1D-17-C6-FF-02,,,2.4G,,,前湖北-游泳馆-B104,ncu-wlan-master,无线/前湖北/游泳馆,10.1.0.13,10.62.0.17,,0
在线,22-A7-B8-3A-5C-14,10.202.22.141,NCUWLAN,2.4G,36,,前湖北-慧源楼-121-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.29,,156897
离线,0E-62-B9-FB-08-E6,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"076629780253125050,1,1748242262",0
离线,D2-D7-B7-60-A0-2A,10.208.255.232,NCUWLAN,2.4G,11,,东湖南-基础楼-4F-01,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.35,,0
离线,34-C9-3D-10-7A-20,,NCUWLAN,5G,,,前湖北-图书馆-A0202-C2,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.177,"402329336424852961,1,1758006186",0
离线,B2-AE-CA-38-69-AA,10.208.140.198,NCUWLAN,2.4G,11,,东湖南-基础教学楼-345,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.112,,0
离线,C2-A8-61-74-02-01,,NCUWLAN,5G,,,东湖南-基础教学楼-5f-11,NCDX-AC-H3C,无线/东湖南/基础教学楼,10.1.0.16,10.81.0.168,,0
离线,66-FA-DB-3B-47-44,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
在线,52-A1-7A-DF-B3-22,10.102.249.85,NCU-5G,5G,36,,前湖南-博士楼-6f-604,NCDX-AC-H3C,无线/前湖南/博士楼,10.1.0.16,10.137.4.50,"635722842288737891,2,1758077747",1097
离线,82-B9-5E-C5-37-CF,10.208.217.108,NCUWLAN,2.4G,1,,东湖南-后勤楼-1F-101,RUIJIE-AC,无线/东湖南/办公楼,10.1.0.15,10.74.0.23,,0
离线,A2-75-0D-7B-54-77,10.202.222.50,NCUWLAN,2.4G,6,,前湖南-8栋-一站式学生服务中心-P-1,RUIJIE-AC,无线/前湖北/一站式学生服务中心,10.1.0.15,10.183.75.45,,0
离线,82-A4-30-B1-BD-D1,10.208.208.241,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,92-E8-C5-D3-19-33,10.202.1.221,NCUWLAN,5G,149,,前湖南-食堂07,RUIJIE-AC,无线/前湖南/食堂,10.1.0.15,10.191.0.217,,0
离线,B0-22-7A-56-74-B1,10.202.172.200,NCUWLAN,2.4G,,,前湖北-机电楼-D110-1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.130.15,,0
离线,22-55-61-7B-33-EA,,NCUWLAN,5G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,D2-52-DD-02-CF-D8,,,2.4G,,,前湖北-天健园,ncu-wlan-master,无线/前湖北/天健院,10.1.0.13,10.191.0.128,,0
离线,42-90-A8-0E-16-F2,,NCUWLAN-TEST,2.4G,,,前湖南-第一教学大楼-3FBMLL-1,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.148,,0
离线,42-D3-D5-F9-6C-14,10.202.43.47,NCUWLAN,5G,157,,前湖北-研究生楼-3F-312,RUIJIE-AC,无线/前湖北/研究生楼,10.1.0.15,10.183.5.45,"119883990525882804,1,1757995039",0
离线,4E-D2-F6-42-C0-A0,,NCUWLAN,5G,,,前湖北-慧源楼-3FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.153,"841171610086782513,1,1758067985",0
离线,60-E3-2B-F5-1D-7E,10.202.20.184,NCUWLAN,5G,149,,前湖北-前湖大厦-916,RUIJIE-AC,无线/前湖北/前湖大厦,10.1.0.15,10.161.64.47,,0
离线,72-83-BF-5C-6B-32,,,2.4G,,,前湖北-艺术楼-B220,ncu-wlan-master,无线/前湖北/艺术楼,10.1.0.13,10.63.0.118,,0
离线,2A-D8-23-7D-F1-7D,10.202.13.244,NCUWLAN,5G,157,,前湖北-理科楼-实验室-1F-05,RUIJIE-AC,无线/前湖北/理科楼,10.1.0.15,10.50.0.69,"835158401761909298,1,1743579119",0
离线,A2-1D-CE-4F-38-83,10.202.92.251,NCUWLAN,2.4G,13,,前湖北-建工楼-2f-a-01,NCDX-AC-H3C,无线/前湖北/建工楼,10.1.0.16,10.54.49.247,"304569275188236228,2,1758073277",0
离线,02-77-F4-CD-43-E7,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"232023879584595620,1,1749088321",0
在线,92-E0-17-69-D2-D3,10.202.230.252,NCUWLAN,2.4G,1,,前湖北-研究生楼-2F-218,RUIJIE-AC,无线/前湖北/研究生楼,10.1.0.15,10.183.5.55,"280907180728723423,2,1758077271",5009
离线,CA-C4-E1-EC-22-5B,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"876960546547370269,1,1749629045",0
离线,D2-3A-7B-54-C5-5A,10.210.227.19,NCUWLAN,2.4G,,,青山湖北-附属中学-高中4F415,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.20,,0
在线,0A-F6-98-20-4F-EC,10.202.157.76,NCUWLAN,2.4G,11,,前湖北-艺术楼-a424,NCDX-AC-H3C,无线/前湖北/艺术楼,10.1.0.16,10.62.0.214,"424638486844963026,1,1758071553",7479
离线,A2-5D-F7-67-B5-12,,NCUWLAN,5G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,A2-A2-20-A0-A0-CD,,NCUWLAN,2.4G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,B2-D0-A8-31-45-CA,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,92-B2-82-94-4C-A9,,,,,,,NCDX-AC-H3C,,10.1.0.16,,,0
离线,C2-69-95-9A-BF-61,,NCUWLAN,5G,,,前湖北-校医院-1f-01,NCDX-AC-H3C,无线/前湖北/校医院,10.1.0.16,10.62.0.244,,0
离线,36-78-99-B7-B4-D8,10.202.63.122,NCUWLAN,2.4G,6,,前湖北-外经楼-2F-209,RUIJIE-AC,无线/前湖北/外经楼,10.1.0.15,222.204.32.37,"728600642432876334,1,1747832268",0
离线,AE-AB-AA-17-EE-30,10.202.241.72,NCUWLAN,5G,,,前湖北-机电楼-E610-1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.129.53,"560476748919745458,1,1757814304",0
离线,9A-AA-27-DA-F0-A5,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,42-FC-4B-E1-00-4F,,NCU-2.4G,5G,,,前湖北-文法楼-4f-a-11,NCDX-AC-H3C,无线/前湖北/文法楼,10.1.0.16,10.63.0.67,,0
离线,C8-15-4E-C4-A5-A9,10.202.233.133,NCUWLAN,5G,36,,前湖北-文法楼-2F-A242,RUIJIE-AC,无线/前湖北/文法楼,10.1.0.15,10.63.0.107,"518214433705424798,2,1758077493",0
离线,F2-92-A9-B0-D4-74,,NCUWLAN,5G,,,东湖南-研究生楼-108,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.4,,0
离线,5E-02-56-FF-33-C5,,,2.4G,,,前湖北-天健园,ncu-wlan-master,无线/前湖北/天健院,10.1.0.13,10.191.0.128,,0
离线,72-22-E0-45-CE-DC,,NCUWLAN,2.4G,,,食品创新研究院-DBF-XQ-402,NDSPXY_AC,无线/前湖北/食品学院,10.1.0.19,10.139.249.208,,0
离线,DA-40-7C-E4-4E-B1,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"288877826997623626,1,1747722867",0
离线,62-F6-55-93-DA-75,,NCUWLAN-test,2.4G,,,前湖北-机电楼-E534-1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.129.148,,0
离线,CE-2C-E5-86-1F-7C,10.202.163.17,NCUWLAN,2.4G,40,,前湖北-理科楼-4f-b-01,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.215.219,"331106434384660423,1,1757999748",0
离线,B2-36-31-70-99-F5,,NCUWLAN,5G,,,东湖南-继教楼-205-C1,NCDX-AC-H3C,无线/东湖南/继续教育学院,10.1.0.16,210.35.149.148,,0
离线,F2-2F-30-5A-E0-D1,,,2.4G,,,前湖北-建工楼-5f-a504,ncu-wlan-master,无线/前湖北/建工楼,10.1.0.13,10.54.156.234,,0
离线,36-27-E0-0A-93-7E,10.248.132.103,NCUWLAN,2.4G,,,前湖南-医创中心-1F-153-1,NCU_HW_AC1,无线/前湖南/医创中心,10.1.0.18,10.157.1.175,"523667044637734602,1,1754980876",0
离线,62-7B-96-E4-28-9D,10.202.52.109,NCUWLAN-test,5G,,,前湖北-机电楼-D410-1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.130.19,,0
离线,A2-20-84-7F-C8-FF,,,5G,,,前湖北-艺术楼-A124,ncu-wlan-local,无线/前湖北/艺术楼,10.1.0.14,10.62.0.202,,0
在线,0E-B3-D4-6C-C4-9A,10.210.150.19,NCUWLAN,5G,149,,青山湖北-软件楼-114-G1,NCDX-AC-H3C,无线/青山湖北/软件楼,10.1.0.16,10.160.8.8,"576824982469629286,2,1758077631",9674
离线,46-7C-46-4E-4C-89,,NCU-2.4G,5G,,,前湖北-理科楼-7f-a-12,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.88.248,,0
离线,4E-6A-E8-EA-4B-19,,NCU-2.4G,2.4G,,,前湖北-旅游学院-220,NCDX-AC-H3C,无线/前湖北/旅游学院,10.1.0.16,10.66.0.99,,0
离线,C2-0E-0F-FA-EE-2D,,NCUWLAN,5G,,,东湖南-研究生楼-401,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.3,,0
离线,B2-4E-DA-81-09-7C,10.208.161.176,NCUWLAN,2.4G,6,,东湖南-科技楼-8F-804,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.81,,0
离线,7A-61-8B-B4-65-CB,10.102.110.221,NCU-2.4G,2.4G,,,前湖南-博士楼-6f-601,NCDX-AC-H3C,无线/前湖南/博士楼,10.1.0.16,10.137.4.16,"878730915054966399,1,1736089215",0
离线,CE-5A-1B-D9-F4-ED,,NCUWLAN-TEST,5G,,,前湖北-慧源楼-5FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.156,"637427953241917474,1,1747295359",0
离线,52-91-9B-23-EC-A7,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,C6-3B-CE-77-D6-E8,,NCU-2.4G,2.4G,,,前湖北-前湖图书馆-16f-w02,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.4,,0
离线,D2-2D-4B-4C-15-26,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"529332806537485745,1,1753973813",0
离线,42-53-BB-63-BD-7C,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,84-9E-56-63-A7-35,10.202.183.150,NCUWLAN,5G,149,,前湖北-研究生楼-1F-108,RUIJIE-AC,无线/前湖北/研究生楼,10.1.0.15,10.50.0.198,"163520345087415607,2,1758077726",0
离线,3E-60-53-88-47-80,,ncu-wl,,,,前湖北-3食堂-2F-2,NCDX-AC-H3C,无线/前湖北/3-4食堂,10.1.0.16,,,0
离线,F2-B7-0E-48-89-D6,,,2.4G,,,前湖南-教学楼2-103,ncu-wlan-master,无线/前湖南/第二教学大楼,10.1.0.13,10.70.0.86,,0
离线,CE-03-94-05-1E-C0,,NCUWLAN,2.4G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,"407357363108291020,1,1755837541",0
离线,56-EA-1D-A0-B0-07,,,2.4G,,,前湖北-体育场-110,ncu-wlan-master,无线/前湖北/体育场,10.1.0.13,10.63.0.9,"019189437637076709,1,1757463117",0
离线,C2-46-C3-70-EE-02,,NCUWLAN,2.4G,,,青山湖北-软件楼-107-G8,NCDX-AC-H3C,无线/青山湖北/软件楼,10.1.0.16,10.160.8.47,"326666681757527279,1,1758073475",0
离线,A2-8D-D7-91-3A-05,10.208.201.94,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,C2-81-6C-CB-67-E1,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,42-4C-3C-4D-65-1A,,NCUWLAN,5G,,,青山湖北-附属中学-高中4F418,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.33,,0
离线,6E-30-8F-EB-25-88,,NCU-2.4G,5G,,,前湖北-外经楼-1f-03,NCDX-AC-H3C,无线/前湖北/外经楼,10.1.0.16,222.204.32.49,,0
离线,42-93-C9-48-11-41,10.208.217.121,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,B2-AA-31-7C-0D-57,10.248.255.2,NCUWLAN,2.4G,,,前湖南-第一教学大楼-2FMT-1,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.149,,0
离线,52-3A-8C-28-B8-E4,10.182.249.98,NCUWLAN,2.4G,13,,青山湖北-设计研究院-418,RUIJIE-AC,无线/青山湖北/行政楼(设计研究院),10.1.0.15,192.168.252.242,"960041057386968510,1,1756267939",0
离线,12-A7-80-57-2E-1C,,NCUWLAN,2.4G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,D2-AD-7B-BF-8E-4E,,NCUWLAN,5G,,,前湖北-慧源楼-345-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.94,"046696544826266231,1,1749087139",0
离线,C2-D7-51-BF-B1-C1,,NCUWLAN,2.4G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,D2-66-66-69-24-C5,,,2.4G,,,blg-2f-4,ncu-wlan-master,,10.1.0.13,10.76.73.19,,0
离线,02-28-7E-FB-7D-21,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,52-BC-04-A0-A7-C9,,NCUWLAN-TEST,5G,,,前湖北-慧源楼-5FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.156,,0
离线,82-86-55-DC-92-5E,,NCUWLAN,5G,,,东湖南-研究生楼-108,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.4,,0
离线,A6-55-4E-44-87-E3,,,2.4G,,,东湖南-成教楼-412,ncu-wlan-master,无线/东湖南/成教学院,10.1.0.13,10.81.0.87,,0
离线,82-69-27-D6-B7-ED,,NCUWLAN,2.4G,,,前湖北-bwx-2f-01,NCDX-AC-H3C,,10.1.0.16,10.75.128.25,,0
离线,70-15-FB-C8-58-6B,10.202.4.212,NCUWLAN,5G,,,前湖北-信工楼-B109-1,NCU_HW_AC1,无线/前湖北/信工楼,10.1.0.18,222.204.17.126,"220473354311168468,1,1758038827",0
离线,3A-62-1B-6E-23-E9,,NCUWLAN,5G,,,前湖北-建工楼-4f-02,NCDX-AC-H3C,无线/前湖北/建工楼,10.1.0.16,10.54.196.35,"679341129226330705,1,1750311824",0
离线,AE-9B-DB-2B-9C-8C,10.202.159.205,NCUWLAN,2.4G,6,,前湖北-24栋-一站式学生服务中心-P-3,RUIJIE-AC,无线/前湖北/一站式学生服务中心,10.1.0.15,222.204.8.246,"602278809846406311,1,1746597626",0
离线,06-06-10-45-6D-C5,,NCU-2.4G,2.4G,,,前湖北-前湖图书馆-12f-w02,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.150,,0
离线,A6-71-86-4E-31-C1,0.0.0.0,NCUWLAN,2.4G,11,,东湖南-大学生活动中心-1F-1,RUIJIE-AC,无线/东湖南/大学生活动中心,10.1.0.15,10.74.0.32,,0
离线,22-27-B5-4B-D0-06,10.202.65.10,NCUWLAN,2.4G,6,,前湖北-24栋-一站式学生服务中心-P-3,RUIJIE-AC,无线/前湖北/一站式学生服务中心,10.1.0.15,222.204.8.246,"647095008736452830,1,1757838548",0
离线,C2-3F-2E-48-91-56,,,2.4G,,,前湖北-艺术楼-B222,ncu-wlan-master,无线/前湖北/艺术楼,10.1.0.13,10.63.0.127,"855575693275042473,1,1757882553",0
离线,92-A1-B7-95-F2-17,10.208.236.23,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,C2-1B-FF-F3-A0-11,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,F2-29-64-E4-B3-51,10.208.10.108,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,02-3F-AC-96-2B-97,,,2.4G,,,blg-2f-4,ncu-wlan-master,,10.1.0.13,10.76.73.19,,0
离线,22-CA-39-30-89-D2,10.208.34.217,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,B2-A0-86-66-FA-66,10.210.25.85,NCUWLAN,2.4G,1,,青山湖北-一食堂-st02,RUIJIE-AC,无线/青山湖北/一食堂,10.1.0.15,10.76.1.203,,0
离线,44-35-D3-2B-0F-36,,NCUWLAN,2.4G,,,前湖北-艺术楼-b-5f-07,NCDX-AC-H3C,无线/前湖北/艺术楼,10.1.0.16,10.63.0.111,,0
离线,44-90-46-CF-35-28,,NCUWLAN,5G,,,东湖南-继教楼-206-C1,NCDX-AC-H3C,无线/东湖南/继续教育学院,10.1.0.16,210.35.151.129,"206466978127638149,1,1750476072",0
离线,86-4C-18-0D-31-8A,10.202.236.20,NCUWLAN,2.4G,1,,前湖北-智华科技楼-ap720-l-B-S-2F-1,RUIJIE-AC,无线/前湖北/智华科技楼,10.1.0.15,10.80.0.10,"179284639712204518,1,1742125161",0
离线,D2-66-50-ED-00-F4,10.208.66.9,NCUWLAN,2.4G,11,,东湖南-基础教学楼-345,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.112,,0
离线,FE-28-43-E9-97-A2,10.202.143.226,NCUWLAN,5G,60,,28d0.f59a.ecff,RUIJIE-AC,,10.1.0.15,10.161.64.32,"QH905,1,1747531175",0
离线,F8-9A-78-23-25-5D,,,,,,,NCDX-AC-H3C,,10.1.0.16,,,0
离线,42-69-0C-8D-BA-CF,,NCUWLAN,2.4G,,,食品创新研究院-ZS-2D_2F-FJJ,NDSPXY_AC,无线/前湖北/食品学院,10.1.0.19,10.139.249.15,,0
离线,B2-E1-DF-42-5E-31,10.208.116.216,NCUWLAN,2.4G,11,,东湖南-基础教学楼-345,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.112,,0
离线,6A-86-94-BF-E1-6B,,NCU-2.4G,2.4G,,,前湖北-理科楼-3f-a-03,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.211.199,,0
离线,32-C4-2F-B5-57-A2,,,2.4G,,,东湖南-基础教学楼-2f-207,ncu-wlan-master,无线/东湖南/基础教学楼,10.1.0.13,10.50.0.42,,0
离线,52-89-DE-C7-FF-35,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,86-8F-98-BB-9D-CC,,NCU-2.4G,2.4G,,,前湖北-文法楼-2f-a-10,NCDX-AC-H3C,无线/前湖北/文法楼,10.1.0.16,10.63.0.61,"279816999417583646,1,1745200933",0
离线,82-33-65-6E-25-D7,,NCUWLAN,5G,,,东湖南-研究生楼-108,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.4,,0
离线,4E-67-30-1F-F4-96,10.202.243.205,NCUWLAN,2.4G,11,,前湖南-8栋-一站式学生服务中心-D-2,RUIJIE-AC,无线/前湖北/一站式学生服务中心,10.1.0.15,10.183.74.174,"453341401631784957,1,1756900974",0
离线,5A-6D-52-FE-FA-D0,10.210.241.61,NCUWLAN,2.4G,1,,青山湖北-生物楼-401,RUIJIE-AC,无线/青山湖北/生物楼,10.1.0.15,10.76.252.102,"569832675303270616,1,1756392257",0
离线,6A-CF-F4-5D-63-7A,,NCU-2.4G,2.4G,,,前湖北-理科楼-5f-a-08,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.130.216,"817243041781191183,1,1747758827",0
离线,52-BE-57-37-04-B0,,NCUWLAN,5G,,,前湖北-图书馆-A315A-G4,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.168,,0
离线,3A-7A-4C-F3-9C-0B,,,2.4G,,,前湖南-教学楼1-406,ncu-wlan-master,无线/前湖南/第一教学大楼,10.1.0.13,10.70.0.27,,0
离线,0A-12-42-FF-D7-08,,NCUWLAN,2.4G,,,前湖北-建工楼-1f-a-06,NCDX-AC-H3C,无线/前湖北/建工楼,10.1.0.16,10.54.161.81,,0
离线,3E-91-75-3A-08-87,,,5G,,,前湖北-行政楼-1f-大厅,ncu-wlan-master,无线/前湖北/行政楼,10.1.0.13,10.67.0.42,,0
离线,EE-8F-23-16-92-E3,10.202.185.39,NCUWLAN,2.4G,1,,前湖北-行政楼-317,RUIJIE-AC,无线/前湖北/行政楼,10.1.0.15,10.152.6.3,,0
离线,56-FB-18-20-DF-58,,NCUWLAN,5G,,,前湖北-慧源楼-114-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.23,"482522648209118938,1,1757926893",0
离线,A2-C1-41-C0-6C-CD,,NCUWLAN,2.4G,,,blg-2f-2,ncu-wlan-master,,10.1.0.13,10.76.26.136,,0
离线,42-C3-D9-C3-1F-57,,NCU-2.4G,2.4G,,,前湖北-外经楼-4f-06,NCDX-AC-H3C,无线/前湖北/外经楼,10.1.0.16,222.204.32.36,"114871603557267289,1,1757585053",0
